CustomerID,Recency,Frequency,Monetary,Orders,Revenue,LastPurchase,FirstPurchase,R_score,F_score,M_score,RFM_Score,CustomerRank,CustomerTier,HistoricalCLV,CustomerRevenue,CustomerProfit,CustomerMargin,LifetimeDays,PurchaseIntervalDays,AverageCLV,PredictedCLV
18102.0,1,89,349164.35,89,349164.35,2010-12-09 13:44:00,2009-12-01 09:24:00,4,4,4,444,1,Lower,349164.35,349164.35,104749.3,0.29999998568009595,374,4.202247191011236,349164.35,384080.78
14646.0,10,78,248396.5,78,248396.5,2010-11-30 16:28:00,2009-12-02 16:52:00,4,4,4,444,2,Lower,248396.5,248396.5,74518.95,0.3,363,4.653846153846154,248396.5,273236.15
14156.0,7,102,196549.74,102,196549.74,2010-12-03 11:48:00,2009-12-01 12:30:00,4,4,4,444,3,Lower,196549.74,196549.74,58964.92,0.2999999898244587,367,3.5980392156862746,196549.74,216204.71
14911.0,1,205,152121.22,205,152121.22,2010-12-09 12:17:00,2009-12-01 11:41:00,4,4,4,444,4,Lower,152121.22,152121.22,45636.37,0.30000002629481937,374,1.824390243902439,152121.22,167333.34
13694.0,9,94,131443.19,94,131443.19,2010-12-01 12:12:00,2009-12-04 15:26:00,4,4,4,444,5,Lower,131443.19,131443.19,39432.96,0.3000000228235483,362,3.851063829787234,131443.19,144587.51
17511.0,3,31,84541.17,31,84541.17,2010-12-07 09:51:00,2009-12-02 10:52:00,4,4,4,444,6,Lower,84541.17,84541.17,25362.35,0.2999999881714436,370,11.935483870967742,84541.17,92995.29
15061.0,3,86,83284.38,86,83284.38,2010-12-07 13:50:00,2009-12-01 12:18:00,4,4,4,444,7,Lower,83284.38,83284.38,24985.31,0.2999999519717863,372,4.325581395348837,83284.38,91612.82
16684.0,15,27,80489.21,27,80489.21,2010-11-25 11:04:00,2009-12-07 12:56:00,4,4,4,444,8,Lower,80489.21,80489.21,24146.76,0.29999996272792334,353,13.074074074074074,80489.21,88538.13
16754.0,8,29,65500.07,29,65500.07,2010-12-02 17:38:00,2010-03-08 11:32:00,4,4,4,444,9,Lower,65500.07,65500.07,19650.02,0.29999998473284073,270,9.310344827586206,65500.07,72050.08
17949.0,7,74,60117.6,74,60117.6,2010-12-03 13:12:00,2009-12-02 11:07:00,4,4,4,444,10,Lower,60117.6,60117.6,18035.28,0.3,367,4.95945945945946,60117.6,66129.36
13089.0,4,109,57885.450000000004,109,57885.450000000004,2010-12-06 14:00:00,2009-12-02 15:44:00,4,4,4,444,11,Lower,57885.450000000004,57885.450000000004,17365.64,0.3000000863774921,369,3.385321100917431,57885.450000000004,63674.0
15311.0,1,121,55942.74,121,55942.74,2010-12-09 14:15:00,2009-12-01 11:21:00,4,4,4,444,12,Lower,55942.74,55942.74,16782.82,0.29999996424915903,374,3.090909090909091,55942.74,61537.01
17450.0,3,7,52422.3,7,52422.3,2010-12-07 09:43:00,2010-09-27 16:59:00,4,4,4,444,13,Lower,52422.3,52422.3,15726.69,0.3,71,10.142857142857142,52422.3,57664.53
17850.0,8,155,51208.87,155,51208.87,2010-12-02 15:27:00,2009-12-05 12:28:00,4,4,4,444,14,Lower,51208.87,51208.87,15362.66,0.29999998047213305,363,2.3419354838709676,51208.87,56329.76
12931.0,16,42,50291.38,42,50291.38,2010-11-24 10:09:00,2009-12-01 11:46:00,4,4,4,444,15,Lower,50291.38,50291.38,15087.41,0.2999999204635069,358,8.523809523809524,50291.38,55320.52
