Date,SeriesKey,Product,Country,ProductCategory,Fold,Model,Configuration,Actual,Forecast,Residual,ResidualStd,Lower95,Upper95
2010-09-11,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,1,Holt-Winters,default,0.0,16.235534475766997,-16.235534475766997,376.27566771942213,0.0,753.7358432058343
2010-09-12,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,1,Holt-Winters,default,98.0,77.42181795332138,20.57818204667862,376.27566771942213,0.0,814.9221266833887
2010-09-13,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,1,Holt-Winters,default,32.0,102.90621746499053,-70.90621746499053,376.27566771942213,0.0,840.4065261950578
2010-09-14,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,1,Holt-Winters,default,88.0,122.23159890835569,-34.23159890835569,376.27566771942213,0.0,859.7319076384231
2010-09-15,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,1,Holt-Winters,default,203.0,116.38242174220113,86.61757825779887,376.27566771942213,0.0,853.8827304722685
2010-09-16,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,1,Holt-Winters,default,112.0,143.66346171479196,-31.663461714791964,376.27566771942213,0.0,881.1637704448593
2010-09-17,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,1,Holt-Winters,default,128.0,85.17576821951712,42.824231780482876,376.27566771942213,0.0,822.6760769495845
2010-09-18,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,1,Holt-Winters,default,0.0,17.398794184594152,-17.398794184594152,376.27566771942213,0.0,754.8991029146615
2010-09-19,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,1,Holt-Winters,default,24.0,78.58507766214854,-54.585077662148535,376.27566771942213,0.0,816.0853863922159
2010-09-20,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,1,Holt-Winters,default,123.0,104.06947717381769,18.93052282618231,376.27566771942213,0.0,841.5697859038851
2010-09-21,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,1,Holt-Winters,default,911.0,123.39485861718288,787.6051413828171,376.27566771942213,0.0,860.8951673472502
2010-09-22,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,1,Holt-Winters,default,96.0,117.5456814510283,-21.5456814510283,376.27566771942213,0.0,855.0459901810956
2010-09-23,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,1,Holt-Winters,default,200.0,144.82672142361912,55.17327857638088,376.27566771942213,0.0,882.3270301536865
2010-09-24,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,1,Holt-Winters,default,52.0,86.3390279283443,-34.339027928344294,376.27566771942213,0.0,823.8393366584116
2010-09-25,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,1,Holt-Winters,default,0.0,18.56205389342132,-18.56205389342132,376.27566771942213,0.0,756.0623626234886
