CustomerID,ChurnProbability,RetentionProbability,NextPurchaseProbability,RiskCategory,PredictedChurn,PredictedChurnLabel,RiskScore,ProbabilityConfidence
18102,0.010538355810914113,0.9894616441890859,0.9924,Low,1,Churn,1.05,0.969764689939366
14646,0.028298355810914,0.971701644189086,0.9735,Low,1,Churn,2.83,0.969764689939366
14156,0.0216263558109141,0.9783736441890859,0.981,Low,1,Churn,2.16,0.969764689939366
14911,0.009702355810914165,0.9902976441890858,0.9943,Low,1,Churn,0.97,0.969764689939366
13694,0.025890355810914034,0.974109644189086,0.9765,Low,1,Churn,2.59,0.969764689939366
17511,0.019418355810914,0.980581644189086,0.9782,Low,1,Churn,1.94,0.969764689939366
15061,0.01598635581091412,0.9840136441890859,0.9863,Low,1,Churn,1.6,0.969764689939366
16684,0.04061835581091411,0.9593816441890859,0.9553,Low,1,Churn,4.06,0.969764689939366
16754,0.029778355810914037,0.970221644189086,0.9628,Low,1,Churn,2.98,0.969764689939366
17949,0.022350355810913936,0.9776496441890861,0.9795,Low,1,Churn,2.24,0.969764689939366
13089,0.017866355810914114,0.9821336441890859,0.985,Low,1,Churn,1.79,0.969764689939366
15311,0.010170355810914078,0.9898296441890859,0.9932,Low,1,Churn,1.02,0.969764689939366
17450,0.05274235581091402,0.947257644189086,0.9155,Low,1,Churn,5.27,0.969764689939366
17850,0.02392635581091407,0.9760736441890859,0.9775,Low,1,Churn,2.39,0.969764689939366
12931,0.0409423558109141,0.9590576441890859,0.9576,Low,1,Churn,4.09,0.969764689939366
13093,0.02776235581091413,0.9722376441890859,0.9715,Low,1,Churn,2.78,0.969764689939366
16029,0.025722355810914088,0.9742776441890859,0.9735,Low,1,Churn,2.57,0.969764689939366
15838,0.031138355810913954,0.968861644189086,0.9487,Low,1,Churn,3.11,0.969764689939366
14298,0.03285835581091423,0.9671416441890858,0.9657,Low,1,Churn,3.29,0.969764689939366
13798,0.025010355810914153,0.9749896441890858,0.9757,Low,1,Churn,2.5,0.969764689939366
13902,0.7300907685518072,0.2699092314481928,0.4151,High,1,Churn,73.01,0.9460153808433736
15769,0.032510355810914104,0.9674896441890859,0.9526,Low,1,Churn,3.25,0.969764689939366
13081,0.030950355810913988,0.969049644189086,0.9591,Low,1,Churn,3.1,0.969764689939366
13777,0.016726355810914084,0.9832736441890859,0.9811,Low,1,Churn,1.67,0.969764689939366
17841,0.010794355810914036,0.989205644189086,0.9919,Low,1,Churn,1.08,0.969764689939366
16705,0.07076635581091406,0.9292336441890859,0.9219,Low,1,Churn,7.08,0.969764689939366
16422,0.021382355810914078,0.9786176441890859,0.9797,Low,1,Churn,2.14,0.969764689939366
14680,0.02405035581091408,0.9759496441890859,0.9756,Low,1,Churn,2.41,0.969764689939366
13881,0.03599035581091403,0.964009644189086,0.9593,Low,1,Churn,3.6,0.969764689939366
17940,0.15999435581091415,0.8400056441890859,0.7626,Low,1,Churn,16.0,0.969764689939366
17389,0.03398635581091414,0.9660136441890859,0.9602,Low,1,Churn,3.4,0.969764689939366
12482,0.6661427685518072,0.3338572314481928,0.5301,High,1,Churn,66.61,0.9460153808433736
14031,0.01537035581091406,0.9846296441890859,0.9809,Low,1,Churn,1.54,0.969764689939366
13408,0.023850355810913992,0.976149644189086,0.9761,Low,1,Churn,2.39,0.969764689939366
14063,0.12556635581091413,0.8744336441890859,0.8363,Low,1,Churn,12.56,0.969764689939366
16779,0.01733835581091403,0.982661644189086,0.9803,Low,1,Churn,1.73,0.969764689939366
12748,0.010478355810914053,0.989521644189086,0.9928,Low,1,Churn,1.05,0.969764689939366
18251,0.13527035581091407,0.8647296441890859,0.8183,Low,1,Churn,13.53,0.969764689939366
13802,0.04041035581091412,0.9595896441890859,0.9468,Low,1,Churn,4.04,0.969764689939366
12709,0.022158355810914077,0.9778416441890859,0.9691,Low,1,Churn,2.22,0.969764689939366
17677,0.01810635581091402,0.981893644189086,0.9788,Low,1,Churn,1.81,0.969764689939366
17920,0.020954355810913983,0.979045644189086,0.9781,Low,1,Churn,2.1,0.969764689939366
12471,0.030258355810914073,0.9697416441890859,0.9695,Low,1,Churn,3.03,0.969764689939366
16013,0.02579435581091416,0.9742056441890858,0.9706,Low,1,Churn,2.58,0.969764689939366
15039,0.0201823558109141,0.9798176441890859,0.9801,Low,1,Churn,2.02,0.969764689939366
17381,0.03651435581091411,0.9634856441890859,0.9442,Low,1,Churn,3.65,0.969764689939366
12415,0.0725863558109141,0.9274136441890859,0.8848,Low,1,Churn,7.26,0.969764689939366
14258,0.07309835581091406,0.9269016441890859,0.9093,Low,1,Churn,7.31,0.969764689939366
12921,0.01681435581091406,0.9831856441890859,0.9819,Low,1,Churn,1.68,0.969764689939366
14527,0.011870355810914113,0.9881296441890859,0.99,Low,1,Churn,1.19,0.969764689939366
14606,0.014122355810914144,0.9858776441890859,0.9885,Low,1,Churn,1.41,0.969764689939366
13767,0.02464235581091412,0.9753576441890859,0.9718,Low,1,Churn,2.46,0.969764689939366
17675,0.01913435581091405,0.980865644189086,0.9798,Low,1,Churn,1.91,0.969764689939366
15856,0.01649035581091407,0.9835096441890859,0.9785,Low,1,Churn,1.65,0.969764689939366
18008,0.09113835581091412,0.9088616441890859,0.8922,Low,1,Churn,9.11,0.969764689939366
16210,0.028018355810914164,0.9719816441890858,0.9618,Low,1,Churn,2.8,0.969764689939366
12681,0.022478355810914064,0.9775216441890859,0.9716,Low,1,Churn,2.25,0.969764689939366
13078,0.018626355810914097,0.9813736441890859,0.977,Low,1,Churn,1.86,0.969764689939366
15523,0.06613435581091398,0.933865644189086,0.9151,Low,1,Churn,6.61,0.969764689939366
12678,0.06387835581091406,0.9361216441890859,0.8978,Low,1,Churn,6.39,0.969764689939366
17404,0.11269435581091403,0.887305644189086,0.8372,Low,1,Churn,11.27,0.969764689939366
17865,0.03699835581091415,0.9630016441890858,0.9568,Low,1,Churn,3.7,0.969764689939366
13564,0.021866355810914118,0.9781336441890859,0.9762,Low,1,Churn,2.19,0.969764689939366
14062,0.05119835581091392,0.9488016441890861,0.9211,Low,1,Churn,5.12,0.969764689939366
15768,0.6490947555312458,0.35090524446875415,0.5491,High,1,Churn,64.91,0.9460153085069216
17428,0.029086355810914122,0.9709136441890859,0.9593,Low,1,Churn,2.91,0.969764689939366
17448,0.6419694137591522,0.3580305862408478,0.5503,High,1,Churn,64.2,0.9460078542175123
15808,0.03145835581091405,0.968541644189086,0.9568,Low,1,Churn,3.15,0.969764689939366
13001,0.07697835581091395,0.923021644189086,0.9121,Low,1,Churn,7.7,0.969764689939366
12647,0.02122235581091403,0.978777644189086,0.9754,Low,1,Churn,2.12,0.969764689939366
17377,0.01253435581091411,0.9874656441890859,0.9887,Low,1,Churn,1.25,0.969764689939366
14895,0.05549435581091422,0.9445056441890858,0.9329,Low,1,Churn,5.55,0.969764689939366
15760,0.8049907685518072,0.19500923144819277,0.2821,Critical,1,Churn,80.5,0.9460153808433736
12939,0.05935035581091408,0.9406496441890859,0.9128,Low,1,Churn,5.94,0.969764689939366
14088,0.16845435581091417,0.8315456441890858,0.7426,Low,1,Churn,16.85,0.969764689939366
16019,0.05175435581091414,0.9482456441890859,0.9366,Low,1,Churn,5.18,0.969764689939366
12454,0.14292635581091406,0.8570736441890859,0.7712,Low,1,Churn,14.29,0.969764689939366
14277,0.134310355810914,0.865689644189086,0.7963,Low,1,Churn,13.43,0.969764689939366
15513,0.02124235581091405,0.978757644189086,0.9687,Low,1,Churn,2.12,0.969764689939366
15498,0.023430355810914127,0.9765696441890859,0.9673,Low,1,Churn,2.34,0.969764689939366
14667,0.015446355810914136,0.9845536441890859,0.9818,Low,1,Churn,1.54,0.969764689939366
12409,0.16203835581091397,0.837961644189086,0.7573,Low,1,Churn,16.2,0.969764689939366
12357,0.1735943558109142,0.8264056441890858,0.7305,Low,1,Churn,17.36,0.969764689939366
17243,0.023482355810913957,0.976517644189086,0.976,Low,1,Churn,2.35,0.969764689939366
13687,0.28324235581091406,0.7167576441890859,0.5532,Medium,1,Churn,28.32,0.969764689939366
12682,0.01835435581091427,0.9816456441890857,0.975,Low,1,Churn,1.84,0.969764689939366
16525,0.021226355810914033,0.978773644189086,0.9721,Low,1,Churn,2.12,0.969764689939366
17589,0.06039035581091412,0.9396096441890859,0.9255,Low,1,Churn,6.04,0.969764689939366
15640,0.039394355810914106,0.9606056441890859,0.9431,Low,1,Churn,3.94,0.969764689939366
16746,0.05165435581091404,0.948345644189086,0.9418,Low,1,Churn,5.17,0.969764689939366
13340,0.14915035581091418,0.8508496441890858,0.7725,Low,1,Churn,14.92,0.969764689939366
12949,0.059922355810914096,0.9400776441890859,0.9206,Low,1,Churn,5.99,0.969764689939366
12472,0.040454355810914056,0.9595456441890859,0.9358,Low,1,Churn,4.05,0.969764689939366
13319,0.015190355810914102,0.9848096441890859,0.9828,Low,1,Churn,1.52,0.969764689939366
14134,0.058054355810914116,0.9419456441890859,0.9252,Low,1,Churn,5.81,0.969764689939366
12621,0.024842355810914096,0.9751576441890859,0.9603,Low,1,Churn,2.48,0.969764689939366
17044,0.05591035581091408,0.9440896441890859,0.9109,Low,1,Churn,5.59,0.969764689939366
14543,0.046446355810914164,0.9535536441890858,0.9463,Low,1,Churn,4.64,0.969764689939366
15615,0.06073435581091402,0.939265644189086,0.9316,Low,1,Churn,6.07,0.969764689939366
12918,0.8595947685518073,0.14040523144819278,0.1763,Critical,1,Churn,85.96,0.9460153808433736
18052,0.8490987685518072,0.15090123144819276,0.187,Critical,1,Churn,84.91,0.9460153808433736
16553,0.06923835581091409,0.9307616441890859,0.9239,Low,1,Churn,6.92,0.969764689939366
16652,0.09861835581091394,0.9013816441890861,0.8688,Low,1,Churn,9.86,0.969764689939366
18087,0.05229435581091413,0.9477056441890859,0.9303,Low,1,Churn,5.23,0.969764689939366
14299,0.021770355810914133,0.9782296441890859,0.9669,Low,1,Churn,2.18,0.969764689939366
16191,0.05740235581091413,0.9425976441890859,0.9114,Low,1,Churn,5.74,0.969764689939366
17416,0.07086635581091416,0.9291336441890858,0.9128,Low,1,Churn,7.09,0.969764689939366
14028,0.7581947685518072,0.24180523144819277,0.3483,High,1,Churn,75.82,0.9460153808433736
13027,0.06928635581091414,0.9307136441890859,0.9006,Low,1,Churn,6.93,0.969764689939366
17716,0.08021435581091407,0.9197856441890859,0.8967,Low,1,Churn,8.02,0.969764689939366
17706,0.025990355810914023,0.974009644189086,0.9624,Low,1,Churn,2.6,0.969764689939366
17340,0.05408235581091414,0.9459176441890859,0.8998,Low,1,Churn,5.41,0.969764689939366
18172,0.054386355810914,0.945613644189086,0.9414,Low,1,Churn,5.44,0.969764689939366
15251,0.10236635581091413,0.8976336441890859,0.8686,Low,1,Churn,10.24,0.969764689939366
13225,0.11783435581091406,0.8821656441890859,0.8362,Low,1,Churn,11.78,0.969764689939366
17133,0.7148947685518072,0.28510523144819283,0.404,High,1,Churn,71.49,0.9460153808433736
15093,0.035902355810914055,0.964097644189086,0.9523,Low,1,Churn,3.59,0.969764689939366
14045,0.04632235581091404,0.953677644189086,0.9312,Low,1,Churn,4.63,0.969764689939366
13952,0.06255035581091406,0.9374496441890859,0.9097,Low,1,Churn,6.26,0.969764689939366
14091,0.8154867685518072,0.1845132314481928,0.2528,Critical,1,Churn,81.55,0.9460153808433736
14952,0.0702503558109141,0.9297496441890859,0.9207,Low,1,Churn,7.03,0.969764689939366
12714,0.10193435581091415,0.8980656441890859,0.8389,Low,1,Churn,10.19,0.969764689939366
16843,0.09239035581091404,0.907609644189086,0.8967,Low,1,Churn,9.24,0.969764689939366
14961,0.05746235581091408,0.9425376441890859,0.9182,Low,1,Churn,5.75,0.969764689939366
15291,0.03322235581091415,0.9667776441890858,0.9615,Low,1,Churn,3.32,0.969764689939366
