CustomerID,Recency,Frequency,Monetary,Orders,Revenue,LastPurchase,FirstPurchase,R_score,F_score,M_score,RFM_Score,CustomerRank,CustomerTier,HistoricalCLV,CustomerRevenue,CustomerProfit,CustomerMargin,LifetimeDays,PurchaseIntervalDays,AverageCLV,PredictedCLV,Cluster,Segment,PCA1,PCA2,TSNE1,TSNE2,ClusterSize
18102.0,1,89,349164.35,89,349164.35,2010-12-09 13:44:00,2009-12-01 09:24:00,4,4,4,444,1,Lower,349164.35,349164.35,104749.3,0.29999998568009595,374,4.202247191011236,349164.35,384080.78,1,Champions,65.32465705692492,8.544298811254219,49.733616,33.31708,5
14646.0,10,78,248396.5,78,248396.5,2010-11-30 16:28:00,2009-12-02 16:52:00,4,4,4,444,2,Lower,248396.5,248396.5,74518.95,0.3,363,4.653846153846154,248396.5,273236.15,1,Champions,47.06769561424871,5.702022622990928,49.905327,33.18964,5
14156.0,7,102,196549.74,102,196549.74,2010-12-03 11:48:00,2009-12-01 12:30:00,4,4,4,444,3,Lower,196549.74,196549.74,58964.92,0.2999999898244587,367,3.5980392156862746,196549.74,216204.71,1,Champions,39.18561410508806,3.677251314889579,50.150383,33.00628,5
14911.0,1,205,152121.22,205,152121.22,2010-12-09 12:17:00,2009-12-01 11:41:00,4,4,4,444,4,Lower,152121.22,152121.22,45636.37,0.30000002629481937,374,1.824390243902439,152121.22,167333.34,1,Champions,36.61104105419389,0.5080920358911895,50.602276,32.86428,5
13694.0,9,94,131443.19,94,131443.19,2010-12-01 12:12:00,2009-12-04 15:26:00,4,4,4,444,5,Lower,131443.19,131443.19,39432.96,0.3000000228235483,362,3.851063829787234,131443.19,144587.51,1,Champions,27.34900321040496,1.8276627535467815,50.547832,32.44918,5
17511.0,3,31,84541.17,31,84541.17,2010-12-07 09:51:00,2009-12-02 10:52:00,4,4,4,444,6,Lower,84541.17,84541.17,25362.35,0.2999999881714436,370,11.935483870967742,84541.17,92995.29,0,Loyal Customers,15.931518553020194,1.4193251815858396,50.03994,30.961052,4307
15061.0,3,86,83284.38,86,83284.38,2010-12-07 13:50:00,2009-12-01 12:18:00,4,4,4,444,7,Lower,83284.38,83284.38,24985.31,0.2999999519717863,372,4.325581395348837,83284.38,91612.82,0,Loyal Customers,18.49690517738839,0.44184832116151646,51.260323,31.761787,4307
16684.0,15,27,80489.21,27,80489.21,2010-11-25 11:04:00,2009-12-07 12:56:00,4,4,4,444,8,Lower,80489.21,80489.21,24146.76,0.29999996272792334,353,13.074074074074074,80489.21,88538.13,0,Loyal Customers,15.003397604101076,1.4517324674857712,49.99989,30.86273,4307
16754.0,8,29,65500.07,29,65500.07,2010-12-02 17:38:00,2010-03-08 11:32:00,4,4,4,444,9,Lower,65500.07,65500.07,19650.02,0.29999998473284073,270,9.310344827586206,65500.07,72050.08,0,Loyal Customers,12.481754960749827,0.9052446739199892,50.084606,30.442066,4307
17949.0,7,74,60117.6,74,60117.6,2010-12-03 13:12:00,2009-12-02 11:07:00,4,4,4,444,10,Lower,60117.6,60117.6,18035.28,0.3,367,4.95945945945946,60117.6,66129.36,0,Loyal Customers,13.817550031047547,-0.03641871307064215,51.58847,31.277122,4307
